Time(Iteration),CLUB,SCLUB,LinUCB
Time(Iteration),CLUB,SCLUB,LinUCB
0,3.02572270519,2.50628412907,2.71099315678
0,10,50,0.0
10,36.5894247129,21.3502030775,9.55727838421
10,110,550,0.0
20,66.5830183861,29.1306158574,9.95403843393
20,210,1050,0.0
30,78.6980089021,33.7823027921,10.0838784519
30,310,1550,0.0
40,86.99603355,39.76449356,10.1403802733
40,410,2050,0.0
50,93.1288216251,44.6768008874,10.1642274077
50,510,2550,0.0
60,99.5702920576,48.5332756945,10.2134481329
60,621,3050,0.0
70,106.382943623,52.3776218973,10.2313642647
70,821,3550,0.0
80,114.310761871,55.9335799714,10.2855687623
80,1087,4050,0.0
90,123.804200189,59.8312766425,10.3026155897
90,1387,4550,0.0
